host_unix_s,host_elapsed_s,host_dt_s,mcu_timestamp_ms,mcu_elapsed_s,response_status,terminated,pendulum_angle_deg,pendulum_error_deg,pendulum_velocity_dps_est,rotor_angle_deg,rotor_velocity_dps_est,motor_speed_pps_observed,l6474_status_raw
1789387981.09647,18.4472734000301,0.018627900048159063,976607,18.58,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.114913,18.466278200037777,0.01900480000767857,976626,18.599,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.1342847,18.48530529998243,0.019027099944651127,976646,18.619,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.1540272,18.505251699942164,0.019946399959735572,976667,18.64,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.1765804,18.527763699996285,0.022512000054121017,976687,18.66,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.1954565,18.546112800017,0.018349100020714104,976707,18.68,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.2131722,18.564346799976192,0.01823399995919317,976727,18.7,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.233806,18.584693099954166,0.020346299977973104,976747,18.72,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.2527144,18.604242700035684,0.019549600081518292,976767,18.74,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.2773902,18.628718700027093,0.02447599999140948,976787,18.76,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.2988515,18.65012290002778,0.021404200000688434,976809,18.782,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.3154852,18.66698799992446,0.01686509989667684,976828,18.801,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.336221,18.686929399962537,0.019941400038078427,976848,18.821,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.3561027,18.707314500003122,0.020385100040584803,976868,18.841,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.3747802,18.725825799978338,0.01851129997521639,976888,18.861,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.3943362,18.745103599969298,0.019277799990959466,976909,18.882,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.413503,18.764401599997655,0.01929800002835691,976928,18.901,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.4332137,18.784275299985893,0.019873699988238513,976949,18.922,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.4534798,18.80486369994469,0.0205883999587968,976969,18.942,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.4746776,18.826194699970074,0.021331000025384128,976989,18.962,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.4943209,18.845301099936478,0.019106399966403842,977010,18.983,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.5137513,18.86436549993232,0.019064399995841086,977029,19.002,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.533458,18.88438960001804,0.02002410008572042,977049,19.022,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.554062,18.904708300018683,0.02031870000064373,977070,19.043,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.575014,18.925632799975574,0.02092449995689094,977090,19.063,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.5936215,18.94450300000608,0.018870200030505657,977110,19.083,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.6136873,18.965015699970536,0.02051269996445626,977130,19.103,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.6331758,18.98419059999287,0.01917490002233535,977150,19.123,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.6535866,19.004675999982283,0.020485399989411235,977170,19.143,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.6745968,19.0260566000361,0.021380600053817034,977190,19.163,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.6928325,19.044207699946128,0.01815109991002828,977211,19.184,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.71313,19.064709599944763,0.020501899998635054,977231,19.204,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.7325284,19.083908100030385,0.019198500085622072,977251,19.224,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.755313,19.106850699987262,0.02294259995687753,977271,19.244,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.7760584,19.12754309992306,0.020692399935796857,977291,19.264,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.7946703,19.14576380001381,0.018220700090751052,977312,19.285,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.8151603,19.16595519997645,0.0201913999626413,977332,19.305,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.8360198,19.18711259996053,0.02115739998407662,977352,19.325,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.8555644,19.207336799940094,0.020224199979566038,977372,19.345,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.8769524,19.22793679998722,0.020600000047124922,977392,19.365,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.8961997,19.246809600037523,0.01887280005030334,977413,19.386,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.916482,19.26707439997699,0.020264799939468503,977433,19.406,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
1789387981.9367318,19.287666899967007,0.020592499990016222,977453,19.426,0,False,357.9,-177.89999999999998,0.0,0.0,0.0,0.0,65027
